experiment_name,test_accuracy,test_auc,test_f1,total_params,best_val_accuracy,epochs_trained,training_time_minutes
exp01_mlp_baseline,0.668095,0.718419,0.775956,77204226,0.651905,10,23.76
exp02_single_cnn,0.832381,0.657911,0.906133,422530,0.820476,7,8.39
exp03_stream1_only,0.950952,0.986322,0.970994,10888450,0.962381,20,21.26
exp04_stream2_only,0.857143,0.65014,0.923077,1306786,0.856667,11,24.27
exp05_stream3_only,0.718571,0.552477,0.830124,144258,0.716667,6,10.94
exp06_stream1_stream2,0.961429,0.989696,0.977569,12193954,0.96381,20,140.43
exp07_stream1_stream3,0.959048,0.984606,0.976018,11031426,0.958095,20,63.25
exp08_stream2_stream3,0.785714,0.623215,0.876033,1449762,0.786667,7,22.33
exp09_full_model_adam,0.954762,0.983769,0.973604,12438234,0.963333,20,68.08
exp10_full_model_sgd,0.927619,0.956811,0.957871,12438234,0.929524,20,66.61
exp11_full_model_dropout03,0.965714,0.99043,0.979922,12438234,0.968571,20,66.49
exp12_full_model_no_attention,0.964286,0.992057,0.978962,12336930,0.966667,20,68.45
